,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
627,The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967.0,0,4,23.0,0,0.0,145,G#,Major,41,65,88,0,0,26,5
631,AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703.0,93,5,67.0,1,0.0,172,F#,Minor,74,79,66,11,0,8,16
634,Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494.0,10,56,17.0,0,0.0,138,G,Minor,74,65,67,46,0,36,4
635,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901.0,143,24,110.0,0,70.0,120,G,Major,72,67,72,0,0,13,4
636,Permission to Dance,BTS,1,2021,7,9,1801,2,608334048.0,77,134,74.0,0,2.0,125,A,Major,70,65,74,1,0,34,4
637,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573.0,209,54,710.0,0,18.0,123,D,Major,82,80,86,1,0,30,13
638,RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345.0,141,12,78.0,0,0.0,81,F#,Major,79,44,54,41,0,13,24
641,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tav  rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934.0,72,0,0.0,0,0.0,84,G,Minor,56,61,76,10,0,14,11
642,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991.0,17,3,3.0,0,0.0,115,F,Minor,90,74,54,16,0,13,28
643,When I   m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,226897599.0,89,21,65.0,0,0.0,125,Unknown,Major,69,70,89,4,0,49,3
