,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
13,Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182.0,24,,130,D,Minor,51,32,43,83,0,9,3
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95.0,24,,78,Unknown,Major,44,14,9,96,0,10,3
34,TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184.0,18,354.0,180,E,Minor,72,61,63,67,0,9,28
54,Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,0.0,19,,123,E,Minor,45,13,54,70,0,9,4
59,cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142.0,4,215.0,130,Unknown,Minor,61,53,58,55,0,27,4
63,BESO,"Rauw Alejandro, ROSAL ",2,2023,3,24,4053,50,357925728.0,82,121,182.0,12,171.0,95,F,Minor,77,53,64,74,0,17,14
67,People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169.0,8,529.0,198,A#,Minor,59,71,42,55,0,10,7
72,golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109.0,18,230.0,94,C#,Minor,51,14,59,65,18,25,3
76,Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68.0,1,84.0,132,E,Major,58,27,48,50,0,12,3
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71.0,0,115.0,101,A#,Major,34,32,57,78,0,20,3
82,Novidade na   ,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25.0,2,72.0,130,F,Major,63,36,34,76,0,35,9
86,Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,0.0,0,,110,C#,Major,50,45,41,75,0,11,3
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63.0,1,0.0,100,F#,Minor,49,17,35,71,9,11,3
100,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163.0,0,5.0,206,G,Major,43,50,55,50,0,15,10
105,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6.0,6,202.0,158,A#,Major,54,50,40,61,0,10,6
111,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0.0,0,48.0,130,F,Major,51,18,44,76,0,11,3
119,august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61.0,1,44.0,90,F,Major,51,42,61,53,0,9,3
128,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,0.0,2,136.0,115,E,Minor,35,12,30,93,0,10,3
135,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132.0,31,37,31.0,0,189.0,140,Unknown,Major,63,22,54,46,0,12,8
139,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50.0,0,9.0,132,F#,Major,56,20,55,45,1,32,3
141,Novo Balan ,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26.0,1,66.0,124,D#,Minor,84,65,50,67,0,13,6
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5.0,0,1.0,90,F,Minor,59,52,48,38,5,10,11
148,Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44.0,1,195.0,120,E,Major,60,24,35,73,0,31,3
167,The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830.0,70,82,939.0,1,162.0,174,D,Major,45,10,37,97,25,64,4
169,When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319.0,0,0,806.0,0,0.0,145,Unknown,Major,60,43,27,94,0,14,4
170,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173.0,0,0,885.0,0,0.0,150,C#,Minor,65,51,55,73,0,14,3
180,Night Changes,One Direction,1,2014,11,17,7124,18,1131090940.0,60,20,2.0,0,,120,G#,Major,67,40,52,86,0,12,4
186,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070.0,112,68,266.0,1,39.0,160,A,Major,54,54,55,67,0,42,11
189,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446.0,187,99,0.0,1,0.0,129,E,Minor,57,41,66,63,0,12,5
202,Acr  s,Shakira,1,2023,5,11,955,29,123124076.0,37,50,79.0,11,31.0,144,B,Major,75,35,48,84,0,10,12
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040.0,6,71,1.0,0,31.0,100,E,Major,56,53,55,53,0,12,4
210,Abcdario,"Junior H, Eden Mu  ",2,2023,5,13,262,5,89933133.0,8,60,4.0,1,109.0,129,G#,Major,70,42,43,78,0,11,3
223,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,0,9.0,0,0.0,110,F#,Minor,66,32,40,81,0,11,3
228,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245.0,1,20,5.0,0,1.0,81,F#,Major,59,26,60,46,1,25,13
230,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131.0,16,29.0,169,C#,Major,69,69,51,63,0,38,4
244,Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154.0,20,438.0,202,A#,Major,34,25,51,69,0,18,4
246,Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657.0,22,9.0,142,F,Major,60,13,37,58,0,13,3
249,Oi Balde - Ao Vivo,Z   Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47.0,1,33.0,108,D,Major,67,55,67,60,0,80,5
253,Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158.0,3,31.0,170,G#,Major,44,27,32,89,0,14,5
259,MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30.0,6,0.0,80,Unknown,Major,52,57,48,86,0,15,39
260,Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51.0,0,20.0,98,F,Major,44,36,41,50,0,38,5
262,ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48.0,0,6.0,148,A,Major,51,27,33,48,0,22,3
270,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19.0,0,5.0,96,D,Major,72,40,47,71,0,13,4
271,PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147.0,11,20.0,111,C#,Major,87,53,52,66,1,11,5
277,Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1.0,1,18.0,134,G,Major,70,35,41,41,0,10,3
311,Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46.0,16,117.0,110,G,Major,59,22,38,42,0,12,3
314,Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21.0,0,0.0,140,Unknown,Major,64,18,37,72,0,12,7
322,I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135.0,0,6.0,76,A#,Major,58,46,67,65,0,13,4
324,Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,0.0,0,13.0,99,A#,Major,40,45,56,69,0,9,5
326,Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.0,27,27,29.0,1,1.0,150,G#,Minor,90,64,14,67,35,11,10
327,Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0.0,0,0.0,92,A#,Minor,71,41,31,79,0,10,5
341,LET GO,Central Cee,1,2022,12,15,2301,20,298063749.0,49,23,110.0,0,8.0,146,D,Minor,74,51,45,86,0,21,38
342,Sial,Mahalini,1,2023,1,23,134,4,166570053.0,4,6,0.0,0,23.0,120,D,Major,56,20,43,89,0,12,4
344,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056.0,11,101,0.0,0,48.0,94,A,Major,59,44,56,80,0,6,3
349,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415.0,1,10,1.0,0,1.0,140,B,Major,58,26,38,91,0,10,4
350,Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316.0,59,100,58.0,13,2.0,100,G,Major,36,28,28,81,0,18,3
357,Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468.0,16,53,1.0,0,61.0,140,F#,Major,53,51,70,49,0,14,3
363,Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576.0,16,19,21.0,3,4.0,105,Unknown,Minor,76,49,56,80,12,10,13
364,Sem Alian  a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665.0,6,1,21.0,0,1.0,83,C#,Major,53,40,36,73,0,11,33
366,Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230.0,7,0,203.0,0,2.0,140,B,Minor,75,18,25,78,0,11,26
370,Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971.0,57,4,48.0,0,0.0,107,B,Minor,66,47,40,72,0,11,3
387,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960.0,129,31,212.0,1,41.0,177,A,Major,25,17,30,90,0,13,3
399,TV,Billie Eilish,1,2022,7,21,3009,2,338564981.0,68,89,65.0,0,25.0,141,E,Minor,41,9,25,84,1,14,4
400,I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953.0,136,24,0.0,0,30.0,82,F,Major,68,50,49,56,0,8,4
401,Heather,Conan Gray,1,2020,3,20,6170,7,1301799902.0,82,1,231.0,0,2.0,92,F,Major,47,25,43,62,0,32,3
416,Blind,SZA,1,2022,12,9,1484,0,163284000.0,22,51,12.0,0,0.0,114,A,Minor,46,60,28,91,0,21,4
424,Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327.0,117,1,676.0,3,0.0,108,A#,Minor,63,20,55,72,0,6,6
425,Dream On,Aerosmith,1,1973,1,5,168,0,838586769.0,0,0,5.0,0,0.0,80,F,Minor,39,24,43,39,0,23,3
427,Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632.0,238,122,557.0,17,58.0,121,F#,Minor,67,26,64,52,0,17,10
431,Evergreen (You Didn   t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678.0,70,0,49.0,0,0.0,82,A,Major,70,31,34,60,1,11,4
437,"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203.0,8,18,20.0,0,1.0,120,D,Major,69,40,39,41,0,13,6
438,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6,366599607.0,26,98,4.0,0,0.0,94,Unknown,Major,58,44,57,57,0,10,3
443,Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,769213520.0,191,168,206.0,0,,140,G#,Major,70,85,41,71,0,45,5
444,Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,0,741301563.0,165,99,104.0,0,,119,D,Major,74,78,37,84,0,6,3
