,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
445,It's Beginning To Look A Lot Like Christmas,Michael Bubl ,1,2011,10,14,12353,0,807561936.0,35,0,549.0,0,0.0,93,E,Major,35,38,23,91,0,29,3
447,It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,663832097.0,182,107,160.0,0,1.0,202,G,Major,24,76,60,77,0,12,4
448,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129.0,88,1,277.0,0,0.0,134,C#,Major,45,72,24,91,0,18,4
449,Snowman,Sia,1,2017,1,1,5140,0,690104769.0,85,110,500.0,0,,105,C#,Major,72,33,51,48,0,9,3
452,Holly Jolly Christmas,Michael Bubl ,1,2011,10,14,7655,0,476244795.0,5,0,291.0,0,0.0,151,G,Major,65,70,47,87,0,9,4
456,Love Language,SZA,1,2022,12,9,1127,0,110849052.0,16,63,8.0,0,0.0,65,A,Minor,71,55,26,85,0,13,8
459,A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,0,395591396.0,108,120,73.0,0,0.0,140,Unknown,Major,67,81,36,64,0,15,3
460,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,0,389771964.0,140,72,251.0,0,0.0,139,C#,Major,36,22,15,84,0,11,4
463,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250.0,16,20,4.0,0,0.0,125,F#,Major,62,59,43,84,3,11,5
464,Special,SZA,1,2022,12,9,906,0,88092256.0,6,21,3.0,0,0.0,76,Unknown,Major,60,19,20,78,0,11,5
466,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,473248298.0,126,108,406.0,0,0.0,143,D,Major,60,86,32,88,0,34,6
467,SOS,SZA,1,2022,12,9,827,0,73981293.0,6,18,1.0,0,0.0,119,G,Minor,51,51,66,67,0,9,23
468,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938.0,13,87,17.0,0,46.0,78,A,Major,67,22,59,76,1,15,16
469,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,395591396.0,73,79,123.0,0,0.0,96,A,Major,23,19,25,91,0,40,3
472,Gone Girl,SZA,1,2022,12,9,892,0,65362788.0,3,17,2.0,0,0.0,150,F,Major,43,42,44,57,0,15,6
476,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,295998468.0,89,39,158.0,0,0.0,113,G,Major,73,72,32,77,0,15,5
480,I Hate U,SZA,1,2021,12,3,4094,0,356709897.0,66,96,43.0,0,0.0,107,G,Minor,54,41,39,51,0,11,16
483,Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715.0,65,39,41.0,0,0.0,107,F#,Minor,69,96,36,81,0,8,4
486,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194.0,33,57,30.0,0,11.0,110,A,Major,66,19,32,69,0,12,4
493,Too Late,SZA,1,2022,12,8,714,0,49262961.0,0,9,2.0,0,0.0,128,B,Major,45,35,68,78,0,39,8
496,Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459.0,32,3,65.0,0,0.0,175,G#,Major,51,94,34,73,0,10,5
497,Far,SZA,1,2022,12,9,680,0,51641685.0,2,15,1.0,0,0.0,116,D,Major,61,48,55,67,0,16,8
498,On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948.0,2,2,6.0,0,2.0,80,F,Minor,33,51,59,76,0,44,6
503,Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590.0,65,7,70.0,16,6.0,109,F,Major,60,45,47,62,0,31,5
515,Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984.0,3,18,14.0,0,0.0,87,E,Minor,49,49,59,44,0,35,21
521,Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526.0,1,8,6.0,0,0.0,78,A,Minor,27,10,49,62,0,49,5
523,Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456.0,1,17,11.0,0,0.0,86,A,Minor,28,13,41,50,0,19,3
531,Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045.0,138,133,283.0,0,,65,Unknown,Major,31,31,24,76,0,14,4
533,traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859.0,85,43,134.0,0,,176,D#,Major,29,12,33,68,0,12,5
534,Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380.0,34,23,118.0,0,,180,G#,Minor,59,69,61,84,0,46,36
535,drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199.0,185,61,485.0,0,,144,A#,Major,59,21,43,76,0,10,7
541,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466.0,0,2,2.0,0,0.0,94,F,Minor,46,55,50,71,0,10,11
544,It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015.0,56,8,104.0,0,10.0,78,G,Major,40,7,29,62,0,9,3
549,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,540539717.0,42,2,57.0,0,,120,G#,Major,58,44,60,44,9,5,6
565,deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657.0,117,39,141.0,0,46.0,181,A,Major,44,22,60,61,0,42,9
574,LA FAMA (with The Weeknd),"The Weeknd, ROSAL ",2,2021,11,11,4640,3,374706940.0,81,93,507.0,6,4.0,136,Unknown,Minor,77,82,30,95,0,13,5
576,Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571.0,1,1,3.0,0,0.0,108,A,Minor,46,23,48,75,30,14,4
577,Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418.0,24,47,74.0,0,0.0,94,Unknown,Major,42,47,36,76,0,9,5
586,Miserable Man,David Kushner,1,2022,1,7,788,0,124407432.0,13,0,32.0,1,0.0,110,A#,Major,63,31,35,93,0,29,3
587,happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354.0,25,46,105.0,0,45.0,169,F#,Major,39,36,45,81,0,8,13
590,Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237.0,205,130,625.0,0,25.0,112,D#,Major,45,19,60,63,0,9,6
595,favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581.0,20,21,99.0,0,7.0,173,A,Major,40,19,29,86,0,34,4
602,HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566.0,111,127,210.0,0,37.0,129,Unknown,Major,61,59,46,56,0,13,5
605,Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366.0,4,2,50.0,0,0.0,90,E,Minor,73,31,45,85,24,11,3
607,Bored,Billie Eilish,1,2017,3,30,4204,0,777765388.0,39,45,250.0,0,0.0,120,G,Major,60,11,33,90,0,8,5
612,Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628.0,5,0,862.0,0,0.0,146,C#,Minor,52,7,61,51,0,11,3
613,you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974.0,167,19,318.0,0,1.0,124,E,Major,64,8,37,79,0,9,5
617,C  ,Rauw Alejandro,1,2021,6,25,2636,3,465959382.0,36,82,39.0,0,5.0,102,A,Minor,77,26,63,58,0,11,5
619,Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672.0,533,167,0.0,6,,98,F#,Minor,82,54,59,69,0,18,10
620,Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111.0,188,34,710.0,0,5.0,84,B,Minor,44,22,48,38,0,33,24
622,All of Me,John Legend,1,2013,8,1,27221,0,2086124197.0,308,118,0.0,2,77.0,120,G#,Major,42,33,26,92,0,13,3
624,Arcade,Duncan Laurence,1,2019,3,7,6646,0,991336132.0,107,47,584.0,1,,72,A,Minor,45,27,33,82,0,14,4
633,Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687.0,368,155,0.0,6,121.0,96,G,Major,57,30,40,38,0,26,3
640,Memories,Maroon 5,1,2019,9,20,9974,2,1759567999.0,272,67,0.0,1,19.0,91,B,Major,77,60,32,84,0,8,5
651,The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379.0,46,1,34.0,0,0.0,134,Unknown,Major,53,31,31,92,0,28,3
682,Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253.0,43,36,46.0,13,4.0,140,G#,Minor,51,66,53,60,0,11,18
685,Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868.0,47,116,266.0,0,0.0,88,F,Major,31,31,63,47,27,21,12
686,Christmas Tree,V,1,2021,12,24,509,9,317622165.0,8,106,6.0,0,8.0,139,F,Major,44,18,38,70,0,12,4
688,When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270.0,8,67,66.0,0,0.0,80,G#,Minor,39,45,55,73,0,9,21
690,Forever,Labrinth,1,2019,10,4,3618,0,282883169.0,21,86,138.0,0,2.0,80,E,Minor,56,19,46,92,72,11,3
696,Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,45,27,0.0,0,43.0,106,G#,Major,44,8,20,74,42,11,3
702,Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468.0,12,4,0.0,0,0.0,72,F#,Major,64,76,44,70,9,12,4
703,"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181.0,26,1,58.0,0,0.0,71,Unknown,Minor,28,26,20,19,0,30,3
714,this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840.0,16,5,43.0,0,7.0,129,B,Major,42,33,44,62,0,8,6
717,Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494.0,11,10,267.0,0,7.0,146,A,Minor,59,23,46,66,0,15,6
727,Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197.0,15,48,50.0,0,3.0,98,F#,Minor,68,33,43,38,0,36,14
745,That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130.0,11,6,12.0,0,15.0,108,F#,Major,71,55,44,74,0,11,6
749,Falling,Harry Styles,1,2019,12,13,7556,0,1023187129.0,124,24,254.0,0,8.0,110,E,Major,57,6,27,84,0,9,3
759,Still Life,BIGBANG,1,2022,4,5,181,0,53909146.0,16,14,7.0,0,0.0,118,G#,Major,68,24,58,44,0,6,3
760,Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932.0,228,105,0.0,0,84.0,108,E,Major,61,20,38,61,0,10,5
761,Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722.0,289,87,0.0,0,36.0,100,E,Major,61,53,38,84,0,28,44
775,Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104.0,3,7,13.0,0,1.0,134,G,Major,78,51,43,69,0,14,9
776,Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883.0,8,30,13.0,1,1.0,103,C#,Minor,80,45,62,76,0,10,38
781,Otro Atardecer,"Bad Bunny, The Mar  ",2,2022,5,6,1681,7,319546754.0,10,30,13.0,0,33.0,108,D,Major,78,55,60,59,0,7,4
782,Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839.0,1,0,5.0,0,0.0,72,A#,Minor,56,56,47,76,0,8,36
785,Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261.0,8,12,9.0,0,0.0,188,F,Minor,50,41,50,69,0,12,6
789,Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953.0,162,116,355.0,7,0.0,176,D,Major,61,24,62,60,0,24,31
795,In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619.0,48,40,87.0,1,210.0,78,A#,Major,36,30,54,34,0,14,5
796,Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087.0,0,0,0.0,0,0.0,104,G,Major,44,74,42,88,0,9,9
800,Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571.0,2,0,10.0,0,0.0,170,C#,Minor,37,14,24,80,0,11,4
801,Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188.0,1,0,4.0,0,0.0,78,G,Major,43,60,38,76,1,48,38
806,Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576.0,0,0,3.0,0,0.0,118,F,Minor,66,83,43,84,0,19,19
808,Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454.0,3,0,2.0,0,0.0,140,G#,Minor,49,50,37,87,0,11,35
811,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868.0,15,3,3.0,0,0.0,96,B,Major,71,37,52,62,0,11,36
818,With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042.0,4,35,11.0,1,1.0,150,D#,Major,53,14,43,64,0,13,3
821,San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912.0,5,0,5.0,0,0.0,92,G,Major,58,27,36,86,0,9,3
824,Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429.0,42,9,24.0,1,1.0,138,D#,Major,70,31,44,84,0,9,39
828,Matilda,Harry Styles,1,2022,5,20,3218,3,366214458.0,29,10,79.0,0,0.0,114,D,Major,51,39,29,90,0,10,4
829,For Youth,BTS,1,2022,6,10,327,0,114546317.0,5,40,12.0,0,0.0,117,D,Major,63,29,51,43,0,25,4
835,Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684.0,20,3,39.0,0,0.0,142,D#,Major,56,40,54,72,0,10,4
841,Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263.0,13,2,31.0,0,0.0,118,G,Major,56,20,54,67,0,6,5
847,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341.0,19,0,15.0,0,0.0,77,B,Major,81,68,58,83,0,11,34
855,SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376.0,38,79,65.0,0,1.0,89,D#,Major,52,28,48,54,1,19,3
857,Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925.0,26,2,30.0,0,0.0,118,Unknown,Major,42,32,20,94,0,11,4
859,Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630.0,16,5,0.0,0,6.0,130,Unknown,Major,49,14,40,82,0,11,3
908,Static,Steve Lacy,1,2022,7,15,1613,0,202452860.0,21,15,13.0,0,0.0,79,C#,Major,34,22,31,43,63,10,7
909,The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312.0,124,25,0.0,1,0.0,146,F,Major,56,21,44,73,0,11,2
910,Sparks,Coldplay,1,2000,7,10,10826,4,624101957.0,24,0,805.0,0,0.0,103,C#,Major,37,17,27,75,5,10,3
935,Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587.0,7,5,13.0,0,0.0,126,E,Major,66,12,35,55,0,9,14
937,Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835.0,6,3,15.0,0,0.0,110,Unknown,Major,48,15,31,80,22,12,4
939,Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310.0,9,6,13.0,0,2.0,177,Unknown,Major,34,39,16,97,0,12,5
941,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708.0,8,1,7.0,0,0.0,114,D,Minor,62,25,44,51,33,14,3
