,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
count,952.0,952.0,952.0,952.0,952.0,952.0,952.0,952.0
mean,4.673632218844984,6.42271497640152,5.587727026294389,6.6530390565317035,3.512464264056138,1.156558777357097,2.4566869300911853,2.1814177283816756
std,1.7916766477055248,1.8038566713180642,2.2723089641573675,1.6934846894966264,2.4125195233755625,0.8321601666064298,1.3134613256941374,1.4393321273655744
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,3.2180851063829783,5.191780821917808,3.709677419354839,5.5,1.556701030927835,1.0,1.6702127659574468,1.2903225806451613
50%,4.574468085106384,6.671232876712328,5.548387096774194,6.829545454545454,2.6701030927835054,1.0,1.8617021276595744,1.5806451612903225
75%,5.803191489361701,7.780821917808219,7.387096774193549,7.954545454545454,4.989690721649485,1.0,3.0106382978723403,2.306451612903226
max,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
