,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
count,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,260.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0
mean,1.4448529411764706,2018.5882352941176,6.165441176470588,13.621323529411764,5595.308823529412,12.731617647058824,517382996.1507353,62.91544117647059,51.29779411764706,89.02573529411765,2.161764705882353,67.23846153846154,125.22426470588235,60.50367647058823,29.88235294117647,65.88235294117646,12.224264705882353,2.536764705882353,19.43014705882353,9.455882352941176
std,0.7217567593187575,8.5303630376021,3.632345032062809,9.287534065440285,8347.180592143399,20.32588810514462,570490134.6318412,82.12790526624238,51.10942167591035,148.74219034170918,5.4226810654004085,160.05787099396866,28.38346537102927,13.359905362858552,12.401380011013126,13.733659904389574,12.095151639573798,11.787734001455997,14.358441567897847,9.71389057315805
min,1.0,1963.0,1.0,1.0,31.0,0.0,14780425.0,0.0,0.0,0.0,0.0,0.0,67.0,31.0,4.0,28.0,0.0,0.0,4.0,2.0
25%,1.0,2019.0,3.0,5.0,1059.25,0.0,135569636.5,16.0,7.75,9.75,0.0,0.0,102.0,51.0,21.0,56.0,2.0,0.0,10.0,4.0
50%,1.0,2022.0,6.0,12.5,2539.5,2.0,305724965.0,37.5,32.0,30.0,0.0,3.0,125.0,61.0,30.0,65.5,9.0,0.0,13.0,5.0
75%,2.0,2022.0,10.0,22.0,5728.5,17.0,685457989.0,78.0,87.5,93.5,1.0,43.25,145.0,70.0,40.0,76.0,20.0,0.0,26.25,9.0
max,5.0,2023.0,12.0,31.0,51979.0,113.0,3703895074.0,672.0,266.0,801.0,45.0,953.0,204.0,91.0,56.0,97.0,46.0,91.0,83.0,59.0
