,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
count,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,163.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0
mean,1.2696629213483146,2015.5280898876404,6.578651685393258,13.303370786516854,4894.848314606742,8.5561797752809,567941516.5842696,64.4494382022472,45.151685393258425,117.07865168539325,2.0,30.87116564417178,119.57303370786516,55.52808988764045,37.758426966292134,43.37078651685393,69.80898876404494,2.539325842696629,16.53932584269663,8.286516853932584
std,0.5776250801286922,16.844982748239456,3.585437335059866,8.527661198872616,5958.117841105527,16.679080947571194,616074014.5396669,84.67345200391246,46.19651615098302,193.53907179181215,5.033222956847166,74.35119759089837,31.175786504769185,13.970986795393957,20.03310993222926,12.778762415407126,15.823087190468275,9.559869251611977,11.390903477284844,9.254221098403278
min,1.0,1942.0,1.0,1.0,34.0,0.0,30546883.0,0.0,0.0,0.0,0.0,0.0,65.0,23.0,6.0,9.0,19.0,0.0,5.0,2.0
25%,1.0,2019.0,4.0,7.0,1015.5,0.0,137801924.0,8.0,5.25,5.25,0.0,0.0,96.0,45.0,22.0,34.25,60.0,0.0,10.0,3.0
50%,1.0,2022.0,6.0,13.0,2417.5,1.0,331001087.5,30.0,28.0,39.0,0.0,1.0,116.5,57.0,34.0,43.0,72.0,0.0,12.0,5.0
75%,1.0,2022.0,10.0,21.0,6644.0,7.0,807270719.5,85.0,81.75,137.25,1.0,27.0,140.0,66.0,51.0,54.0,83.0,0.0,18.0,8.0
max,4.0,2023.0,12.0,31.0,30992.0,104.0,2887241814.0,533.0,227.0,939.0,24.0,529.0,206.0,90.0,96.0,70.0,97.0,72.0,80.0,44.0
