,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91.0,14,949.0,138,F,Major,51,32,53,17,0,31,6
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87.0,15,425.0,144,A,Minor,65,23,80,14,63,11,6
7,Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30.0,13,194.0,100,F,Major,67,26,71,37,0,11,4
8,fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48.0,11,953.0,130,C#,Minor,85,22,62,12,0,28,9
15,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161.0,12,187.0,89,G#,Major,64,43,73,5,17,16,4
19,Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23.0,2,29.0,120,G,Major,63,36,73,0,0,36,4
22,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,24,98,582.0,2,73.0,135,Unknown,Minor,48,44,42,12,2,11,3
28,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15.0,1,325.0,204,F#,Major,52,52,68,46,0,15,4
30,Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50.0,1,294.0,126,F,Minor,74,35,84,0,0,11,6
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245.0,23,27.0,98,C#,Minor,71,17,61,36,0,8,5
36,Fr  gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24.0,9,212.0,150,F#,Major,61,39,73,37,0,11,3
38,Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151.0,4,82.0,95,D,Major,60,48,79,0,0,12,4
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537.0,45,727.0,128,G,Minor,56,38,97,4,0,35,4
47,Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24.0,0,259.0,134,C#,Minor,59,51,52,9,0,15,7
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74.0,1,16.0,67,C#,Minor,53,50,53,23,0,44,7
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57.0,10,110.0,106,A#,Minor,72,17,64,7,0,10,5
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213.0,11,810.0,128,G,Major,60,23,91,0,0,12,3
55,Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,0.0,20,,171,C#,Major,50,38,80,0,0,9,7
65,Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,0.0,5,0.0,173,B,Major,43,28,66,0,0,23,3
66,Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32.0,0,272.0,90,G#,Major,64,10,62,7,0,48,7
68,Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31.0,1,26.0,140,C#,Major,56,48,73,0,0,35,4
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8.0,2,5.0,82,G#,Major,51,22,53,1,0,15,3
73,Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,0.0,1,,124,A#,Major,61,41,81,5,2,10,3
75,Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,0.0,9,0.0,138,F,Minor,49,42,62,9,0,11,3
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331.0,26,154.0,131,D,Major,71,24,47,1,0,27,9
79,CORAZ  N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18.0,4,93.0,98,C#,Major,68,40,79,33,0,30,6
80,Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,0.0,1,0.0,102,C#,Major,48,50,73,43,0,15,4
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5.0,0,8.0,142,D,Major,50,20,64,1,0,12,3
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798.0,31,0.0,170,C#,Major,59,48,76,4,0,10,5
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29.0,5,82.0,150,D,Major,68,14,76,4,0,10,4
93,Don   t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0.0,0,10.0,136,A,Minor,62,19,53,11,0,6,4
94,Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8.0,0,0.0,88,C#,Minor,53,34,47,9,0,83,4
97,Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42.0,1,236.0,143,F,Major,56,39,55,14,0,11,13
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,0.0,3,200.0,112,C#,Minor,56,24,66,7,0,12,3
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19.0,2,266.0,88,G,Minor,68,17,71,15,0,11,5
102,Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59.0,3,486.0,170,D,Major,50,37,90,0,0,12,5
103,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,0.0,5,204.0,84,E,Minor,62,24,67,21,0,13,28
107,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59.0,1,32.0,117,C#,Major,61,45,69,2,0,9,3
109,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,0.0,5,519.0,108,D,Minor,61,47,68,0,0,13,3
110,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695.0,0,458.0,144,E,Minor,74,37,53,7,0,21,10
116,Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145.0,18,925.0,150,D#,Minor,55,30,78,24,0,12,8
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246.0,9,638.0,143,A,Major,64,31,87,4,4,8,4
132,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282.0,3,368.0,150,D,Major,42,20,86,21,0,9,9
134,505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710.0,30,80,588.0,1,1.0,140,Unknown,Major,52,20,85,0,0,7,5
138,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,0.0,0,0.0,95,G#,Major,60,17,45,16,0,11,2
146,Ojitos Lindos,"Bomba Est  reo, Bad B",2,2022,5,6,6135,38,1133865788.0,71,113,99.0,13,28.0,80,D#,Minor,65,27,69,8,0,53,4
147,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,0.0,0,558.0,172,A,Major,45,33,59,6,0,8,3
156,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532.0,81,121,58.0,1,34.0,163,Unknown,Major,54,40,67,0,0,9,17
158,Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737.0,107,38,95.0,0,,154,D,Major,61,41,74,21,0,40,6
