,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
159,Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809.0,133,181,3.0,0,,117,A,Minor,73,31,69,6,0,11,4
162,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350.0,433,107,0.0,0,26.0,104,C#,Major,77,36,63,1,0,36,5
163,Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989.0,24,101,113.0,0,40.0,164,G#,Major,45,24,62,8,0,16,3
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466.0,17,60,28.0,1,44.0,90,A,Minor,60,13,53,4,0,21,4
172,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445.0,133,92,0.0,1,26.0,85,F,Major,55,42,53,17,0,22,3
173,Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617.0,65,82,0.0,4,13.0,180,D#,Major,33,38,71,20,0,28,5
175,Reminder,The Weeknd,1,2016,11,25,6518,17,684675814.0,45,85,238.0,1,47.0,160,G#,Major,71,40,50,16,0,16,22
178,SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468.0,148,80,226.0,24,0.0,170,Unknown,Major,56,53,64,11,0,45,6
181,Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144.0,11,84,6.0,1,30.0,98,Unknown,Major,70,37,54,6,0,9,8
182,Creep,Radiohead,1,1992,9,21,36724,7,1271293243.0,146,72,0.0,5,80.0,92,G,Major,53,12,34,1,0,12,4
183,Car's Outside,James Arthur,1,2019,10,18,794,10,265882712.0,38,25,61.0,0,263.0,150,A,Major,34,24,56,4,0,11,3
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534.0,61,96,790.0,2,116.0,94,F,Major,37,17,47,2,46,11,3
185,Cheques,Shubh,1,2023,5,19,67,8,47956378.0,7,10,0.0,0,57.0,90,E,Minor,74,36,63,26,0,27,5
188,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668.0,82,0,0.0,0,0.0,109,F,Major,63,46,85,1,0,9,5
191,You Belong With Me (Taylor   s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515.0,47,90,1.0,0,7.0,130,F#,Major,63,49,73,5,0,9,3
192,Titi Me Pregunt ,Bad Bunny,1,2022,5,6,9037,42,1264310836.0,124,133,139.0,14,166.0,107,F,Minor,65,19,72,10,0,13,25
194,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812.0,1,50,19.0,0,19.0,139,A,Minor,48,37,41,32,0,10,10
198,Ditto,NewJeans,1,2022,12,19,1154,22,397582059.0,28,125,11.0,1,51.0,134,F#,Minor,81,18,64,3,0,10,11
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632.0,13,46,20.0,1,10.0,146,B,Minor,61,20,48,21,0,12,6
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727.0,22,18,15.0,1,0.0,74,A#,Minor,53,24,67,11,0,10,28
206,Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963.0,15,15,6.0,0,0.0,106,F,Major,67,24,78,15,0,30,4
208,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975.0,18,41,5.0,0,19.0,120,A,Major,78,5,30,21,0,13,5
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685.0,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15
216,Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353.0,116,84,114.0,18,348.0,96,D,Major,54,25,74,14,0,9,11
218,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772.0,23,21,31.0,0,0.0,90,G#,Major,62,7,62,6,0,58,6
232,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779.0,6,14,8.0,2,4.0,84,A,Minor,43,14,74,1,0,19,8
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc ",2,2023,5,19,896,0,57089066.0,34,2,33.0,0,1.0,126,C#,Major,78,20,70,1,0,16,4
237,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38.0,10,1.0,97,A#,Major,73,10,44,26,0,16,8
239,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43.0,6,2.0,98,G,Minor,80,23,48,14,0,6,5
242,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47.0,0,0.0,150,B,Major,49,4,55,7,0,6,3
243,Unstoppable,Sia,1,2016,1,21,7681,13,939844851.0,119,66,0.0,2,,174,A,Major,47,27,78,11,0,10,8
245,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42.0,0,23.0,153,B,Minor,56,42,52,5,0,36,24
248,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6.0,0,0.0,143,B,Major,83,25,69,4,0,23,12
252,The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21.0,1,54.0,105,F#,Minor,65,46,53,16,0,9,5
255,Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27.0,0,50.0,176,F#,Minor,50,44,76,10,0,32,5
264,I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7.0,0,55.0,122,E,Minor,68,38,88,1,0,8,5
267,Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9.0,0,55.0,137,G#,Major,77,35,88,16,0,17,9
269,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28.0,0,0.0,119,A,Minor,60,10,57,1,0,50,3
276,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10.0,0,64.0,110,B,Minor,76,26,70,1,0,41,6
280,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,0,0,21.0,0,0.0,130,B,Minor,69,36,90,1,10,15,4
284,METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24.0,0,30.0,175,G,Minor,59,15,64,43,90,12,10
285,Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27.0,0,43.0,120,G,Minor,80,33,70,22,0,9,4
288,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142.0,0,27.0,114,A#,Major,32,17,74,14,0,17,3
289,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215.0,5,9,5.0,0,0.0,145,B,Minor,54,19,48,36,0,37,5
292,Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801.0,1,105.0,134,C#,Major,45,17,60,21,0,33,4
293,Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5.0,0,5.0,120,G,Major,62,32,76,0,0,39,4
296,Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,0.0,1,51.0,171,D,Major,70,6,73,1,0,36,26
304,SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276.0,8,1,13.0,0,0.0,96,F#,Minor,48,50,80,40,0,37,20
305,HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11.0,0,78.0,106,G,Major,73,22,86,31,0,12,4
307,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503.0,16,15,5.0,0,1.0,134,B,Minor,67,11,76,8,47,30,7
312,VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12.0,0,52.0,100,A,Major,72,42,66,18,4,19,4
320,Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,0,386.0,0,,80,G#,Major,63,40,61,9,0,56,6
325,The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785.0,122,94,0.0,0,18.0,136,Unknown,Minor,36,12,57,9,0,14,8
330,Low,SZA,1,2022,12,9,1911,0,272377463.0,23,71,14.0,0,9.0,145,Unknown,Minor,70,34,55,43,0,16,6
331,Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,0,0.0,0,0.0,110,A,Major,50,24,86,0,0,64,4
332,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242.0,32,18,39.0,2,0.0,95,Unknown,Major,64,30,77,46,0,38,6
335,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197.0,3,165.0,145,F#,Minor,59,20,74,1,0,15,5
347,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931.0,14,35,1.0,0,0.0,148,E,Major,50,49,76,12,0,12,3
348,Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389.0,45,11,20.0,0,21.0,98,C#,Major,70,29,73,12,0,11,26
353,Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382.0,66,26,277.0,3,734.0,100,A,Minor,59,49,65,2,0,13,3
355,   98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272.0,6,15,0.0,0,0.0,142,D,Major,49,48,67,10,0,26,3
358,In The End,Linkin Park,1,2000,10,24,25065,6,1624165576.0,63,0,0.0,2,0.0,105,D#,Minor,55,40,90,1,0,32,6
371,After Hours,The Weeknd,1,2020,2,19,8084,6,698086140.0,45,115,218.0,1,221.0,109,F,Minor,66,16,57,10,1,12,3
376,Maan Meri Jaan,King,1,2022,10,12,288,6,319566866.0,11,80,1.0,0,8.0,96,F#,Minor,70,40,51,35,0,10,4
377,Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996.0,74,113,85.0,9,2.0,100,F,Minor,80,29,67,29,0,12,3
378,My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512.0,0,0,0.0,0,0.0,105,A,Major,58,42,68,1,0,14,4
379,Devil Don   ,Morgan Wallen,1,2023,3,3,166,0,32526947.0,2,10,0.0,0,0.0,125,Unknown,Major,53,32,66,38,0,9,3
382,TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790.0,88,24,101.0,7,451.0,122,G#,Major,64,25,89,0,0,15,9
388,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354.0,113,17,208.0,0,192.0,142,D,Minor,64,31,72,15,0,9,5
389,"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035.0,47,60,87.0,12,124.0,144,E,Minor,57,47,84,1,1,52,4
394,Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753.0,12,1,11.0,0,8.0,108,F#,Minor,44,38,77,9,0,9,20
396,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833.0,11,78,35.0,0,21.0,115,Unknown,Major,71,34,88,16,0,44,4
406,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270.0,128,84,75.0,0,35.0,83,C#,Major,46,34,64,31,0,7,34
408,After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885.0,1,9,3.0,0,0.0,140,G#,Major,58,4,60,7,41,8,3
411,MIDDLE OF THE NIGHT,Elley Duh ,1,2020,1,10,4057,8,872137015.0,78,21,240.0,1,52.0,186,E,Minor,41,9,61,2,0,12,5
412,Atlantis,Seafret,1,2015,4,22,3045,6,571386359.0,43,53,134.0,1,32.0,166,G#,Minor,40,23,48,5,0,12,3
413,PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786.0,54,32,66.0,2,0.0,107,Unknown,Major,87,20,83,0,4,31,9
415,How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823.0,72,97,58.0,0,154.0,82,G#,Major,40,39,64,21,0,7,7
417,Die For You,Joji,1,2022,11,4,1703,0,246390068.0,38,45,36.0,16,0.0,148,G#,Major,47,15,52,38,13,29,5
420,Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819.0,39,45,27.0,0,1.0,140,C#,Minor,81,6,84,5,23,6,6
421,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622.0,12,22,12.0,0,2.0,88,G,Minor,49,24,66,19,0,18,29
422,Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497.0,120,86,164.0,4,0.0,180,C#,Major,64,44,65,28,0,14,12
428,WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580.0,34,54,34.0,0,2.0,140,D,Minor,58,17,62,18,0,20,8
430,KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833.0,38,101,26.0,0,0.0,102,C#,Major,58,29,94,0,0,9,11
432,Good Days,SZA,1,2020,12,24,10426,2,826623384.0,133,109,182.0,1,10.0,121,C#,Minor,46,53,78,23,0,72,6
435,Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132.0,2,4,6.0,0,0.0,85,F,Minor,65,36,47,31,0,12,10
441,All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,0,1449779435.0,387,132,0.0,0,,150,G,Major,34,33,63,16,0,7,4
446,Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,834129063.0,231,106,439.0,0,,133,G,Major,46,53,63,5,0,30,18
455,Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329.0,5,31,1.0,0,0.0,152,C#,Major,65,35,65,44,18,21,7
457,Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,0,460492795.0,130,1,390.0,0,0.0,147,D,Major,33,39,61,32,0,77,3
462,Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,0,481697415.0,209,30,449.0,0,0.0,115,Unknown,Major,60,23,57,0,2,27,3
471,Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149.0,121,58,212.0,0,0.0,126,D#,Major,34,35,76,39,0,8,5
473,F2F,SZA,1,2022,12,9,989,0,67540165.0,5,9,1.0,0,0.0,90,D,Major,53,47,74,9,0,34,4
479,Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421.0,2,74,14.0,0,2.0,155,G#,Major,49,42,77,3,0,12,9
481,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992.0,3,7,10.0,0,0.0,112,G#,Major,80,15,54,9,0,38,5
484,Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458.0,6,11,3.0,0,0.0,81,G#,Major,47,33,68,24,0,22,38
487,Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339.0,12,16,14.0,0,0.0,108,G,Major,64,4,40,6,0,10,6
489,Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708.0,39,35,22.0,2,0.0,164,G,Major,70,39,56,6,0,9,7
499,GAT  ,"Maldy, Karol G",2,2022,8,25,3328,13,322336177.0,39,50,57.0,3,1.0,93,B,Minor,63,34,86,26,0,21,39
500,   abcdefu,Gayle,1,2021,8,13,7215,0,1007612429.0,170,12,575.0,18,,122,E,Major,70,42,54,30,0,37,5
509,Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579.0,11,29,14.0,0,0.0,123,F#,Minor,74,35,73,0,0,21,5
511,Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871.0,18,77,61.0,0,1.0,143,Unknown,Major,53,50,79,0,0,8,3
512,Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803.0,17,80,38.0,0,0.0,121,A#,Minor,70,35,77,1,0,26,4
514,"Here We Go    Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848.0,7,18,7.0,0,0.0,135,C#,Major,41,27,64,36,0,60,3
518,Need To Know,Doja Cat,1,2021,6,11,6672,0,1042568408.0,125,36,150.0,0,,130,C#,Major,66,19,61,30,0,9,7
522,Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538.0,38,48,20.0,0,0.0,180,D,Major,65,37,58,2,0,4,31
527,Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856.0,67,13,139.0,0,40.0,116,D,Major,75,36,76,12,0,10,10
528,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072.0,61,65,53.0,6,0.0,170,E,Minor,64,14,70,9,0,9,8
532,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237.0,114,172,284.0,2,,120,Unknown,Minor,56,16,67,0,0,11,4
537,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007.0,50,49,30.0,1,2.0,93,Unknown,Major,63,21,52,28,0,9,3
538,Don   t Break My,The Weeknd,1,2022,1,7,1184,0,63803529.0,1,5,6.0,0,0.0,122,A#,Major,77,25,62,34,0,23,3
542,I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194.0,45,0,107.0,0,0.0,170,A#,Major,65,46,47,12,0,13,16
545,Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206.0,33,102,93.0,0,30.0,94,D,Major,57,36,58,5,0,15,3
546,Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426.0,52,15,35.0,0,1.0,73,D,Major,83,11,41,0,0,36,14
551,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203.0,47,14,90.0,0,1.0,95,D,Major,77,40,47,2,0,9,3
552,Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967.0,0,1,2.0,0,0.0,118,Unknown,Major,44,52,94,11,0,4,29
555,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713.0,189,166,525.0,9,25.0,110,E,Minor,73,14,57,40,0,11,5
561,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229.0,69,3,70.0,0,3.0,110,C#,Minor,86,31,53,43,0,11,6
567,TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641.0,44,0,159.0,0,0.0,144,D,Major,74,39,65,5,1,11,35
568,Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357.0,110,145,447.0,0,46.0,101,D,Major,66,18,68,9,0,12,4
572,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982.0,45,43,45.0,0,3.0,146,F,Minor,85,22,37,13,0,7,30
578,Freaks,Surf Curse,1,2015,5,10,3006,3,824420218.0,23,21,121.0,0,13.0,180,A,Major,35,41,94,0,63,5,5
580,Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248.0,42,70,384.0,0,3.0,85,A#,Major,59,33,52,7,15,12,3
