,0,1,2
bpm,4.336077630515607,4.478531806247432,4.0297987451216075
danceability_%,7.227394351227045,5.3539807559028665,4.655822745347906
valence_%,7.029442606305403,3.2663468295843026,3.830495044958707
energy_%,7.197196579727725,6.665311687477648,4.299571519316004
acousticness_%,2.446133627651081,1.8824966596320596,7.316677989825531
instrumentalness_%,1.0357341867201078,1.1034342918605762,1.1225669245962187
liveness_%,2.194812843556628,2.305471316594233,2.12241999141514
speechiness_%,2.008670824913126,1.7948700105529256,1.649503869674145
